skills,job_name,job_type,experience,company_name,industry,company_size,location,hiring_contact,website,description,ld_link
"['Python', 'Machine Learning', 'Cloud Computing', 'Big Data', 'Data Science', 'ML Algorithms', 'GANs']",Data Science Lead Consultant,Contract,8+ years,RightStone,"['Information Technology', 'Web Development', 'Staffing Firms', 'Consulting Services']",1-10 people,Santa Clara,"Casey Barksdale, Employee",http://www.RightStone.com,"Our client in Santa Clara, CA is looking for a Lead Data Science Consultant to join their ongoing project as a long term contractor.Requires:-Programming skills:- R/Python (with working experience in most of common libraries like Scikit , numpy, pandas, mathplotlib, keras, tensorflow, nltk, genism, spacy etc)-Good knowledge in statistics and deep understanding on ML algorithms and their usage-Working experience in end to end data science project life cycles from use case framing, data collection, data exploration, model building, deployment-Working experience in most of the common Machine Learning techniques related to Time series, Regression, Classification, Clustering, NLP, working with IoT data-Working Knowledge in Deep learning with different NN architectures like CNN, RNN, LSTM, GANs Auto encoders etc.-Knowledge of visualization tools like tableau, R Shiny with libraries to effectively communicate the results/inferences derived out of data science models-Good to have working exposure in common cloud environments and understanding of robust on premise data science infrastructure.-Nice to have understanding of big data related technologies and DevOps(Dockers, Singularity)",https://www.learningdollars.com/client/select_engineers/?crid=1994
"['Full Stack Development', 'Ruby on Rails', 'React.js']",Venture | Senior Software Engineer,Full-time,3+ years,AngelList,"['Startups', 'Recruiting', 'Venture Capital']",51-200 people,New York City • Seattle • San Francisco • Remote,"Irin Son, Head of People • 6 months",https://angel.co/,"About AngelList Venture:
At AngelList, we exist to help startups save the world. We’re building the definitive platform for startups — where they raise money through AngelList Venture, build teams through AngelList Talent, and launch their products through Product Hunt.
The venture team is fundamentally altering how startups raise money by replacing early-stage venture capital with modern technology. We've delivered over $1B to more than 3,000 startups over the past few years. Our infrastructure allows investors to build on top of AngelList instead of a traditional VC. This will result in a more innovative, efficient & fair market.
We recently celebrated our ten year anniversary. Here's a fun look back at exciting milestones and a preview of what to expect from AngelList Venture going forward: https://angel.co/blog/the-next-decade
About the Role:
AngelList Venture is seeking a Senior Software Engineer to join our core engineering team. We have a small, tight-knit team (there's 7 of us) and we pride ourselves on having an outsized impact on the industry. Our offices are in Seattle and San Francisco, but we have team members all over the globe. Join us in our mission to innovate on the infrastructure of innovation. ✌️
You will:

Help build the world's easiest-to-use financial platform (see https://t.co/7AmuxYWHe3 – and we've made it easier since then).
Connect startups and investors around the world who would never have had a chance to meet without AngelList.
Know the venture financing business inside and out - from the ground up.
Take responsibility for the code you own and improve our codebase with your presence.
Ship every day.

You are:

A full-stack generalist with 3+ years experience building web applications.
Experienced at writing clean, scalable code with significant experience in one or more scripting languages.
Excited to move fast, prioritize, and constantly make critical product decisions.
Comfortable with and curious about working outside of a traditional narrow engineering role.
A self-starter: you have started something on your own before - a startup, an open-source project, something else.
A deep love of startups (https://venturehacks.com/save-the-world).

If you're interested in joining us, but don't tick every box above, we'd still encourage you to apply. We're building a diverse team whose skills balance and complement one another. We're happy to consider where you might be able to make the biggest impact.
Benefits & Perks : At AngelList Venture, we have top of the line benefits to support our employees in their lives both inside and outside of work. See additional detail on our benefits here: https://angell.ist/venture-benefits .
AngelList is an equal opportunity employer and we value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
",https://www.learningdollars.com/client/select_engineers/?crid=462
"['C++', 'Ruby', 'Microprocessors', 'Phyton', 'Unix Internals', 'Computer Programming - Java/C++/Python']",Design & Development Engineer,Contract,5+ years,Strategiyes,[],11-50 people,Santa Clara,"Ananthakrishnan Natarajan, Founder",Not mentioned,"​Key Qualifications



​​A passion for diagnosing hardware, software, and process issues.

Demonstrated creative and critical independent-thinking capabilities and troubleshooting skills



Industry exposure to and knowledge of OS tools and UNIX internals. Know stuff like shell scripting, file system manipulation, process management, etc.  



At least One of Objective-C, C or C++ programming experience and skill is a must have Experience with scripting languages such as Python, Perl, Ruby, shell scripts is required.

Experience working and debugging with Hardware is a plus

A strong software development background preferred

Strong communication and interpersonal skills; excellent judgment; a self-directed, proactive approach to tackling problems and working through impediment and an ability to generate trust and build alliances with co-workers.



Description



Collaborate closely with Operations, Hardware Engineering, Software Engineering and other teams to design and develop​​ innovative technologies

Come up with new and innovative ways of validating software and processes.

Up to 30% travel (Domestic and International)",https://www.learningdollars.com/client/select_engineers/?crid=1995
[],SR/Lead full stack Engineer,Contract,Not mentioned,SpanIdea Systems,['Embedded Hardware and Software'],201-500 people,Santa Clara,"Victor R, Employee",http://www.spanidea.com,"    7+ years of experience with proficiency in Java, Python, Scala, Go,C/C++ and  Micro services. Good to have experience working on autonomous car projects.Experience in Cloud development including AWS.Participate in our fast pace innovation process from ideation to prototype development and beyond.      Create groundbreaking new features for our users and customers.      Proficient in iOS or Android mobile application development.       Problem solving skills with an inquisitive and innovative mind.       Ability to take on the new challenges ahead together during the cycles of innovation.      Knowledge/experience in Machine Learning or Data analytics.Work with Product Managers, UX designers, and User Researchers to implement concepts.",Not Found
